na,candidate_name,party,votes,rank
NA-150,Makhdoom Zain Hussain Qureshi,Independent,126775,1
NA-150,Javed Akhtar Ansari,PML-N,76760,2
NA-150,Rana Mahmood Ul Hassan,PPP,25553,3
NA-150,Muhammad Hussain Babar,TLP,9936,4
NA-150,Naveed Ul Haq,Independent,4058,5
NA-150,Muhammad Kashif,JIP,2277,6
NA-150,Sohail Ahmad,PMML,1149,7
NA-150,Rana Shahid Mehmood,Independent,533,8
NA-150,Rana Nadeem Ahmad,Independent,282,9
NA-150,Muhammad Javed,Independent,269,10
NA-150,Rana Anas Sajjad,Independent,263,11
NA-150,Muhammad Rehan Joyia,Independent,222,12
NA-150,Rana Sajjad Hussain,Independent,210,13
NA-150,Muhammad Waseem Thaheem,Independent,142,14
NA-150,Abdul Waheed Chaudhry,Independent,86,15
NA-150,Sheheryar Khan,ANP,65,16
