na,constituency_name,province,winner_name,winner_party,winner_votes,runnerup_name,runnerup_party,runnerup_votes,registered_voters,votes_polled,turnout_pct
NA-1,Peshawar 1,,Ghulam Ahmad Bilour,ANP,51233,Mohtarma Benazir Bhutto,PDA,38951,,,
NA-2,Peshawar 2,,Arbab Muhammad Jehangir Khan,ANP,31222,Aftab Ahmad Khan Sherpao,PDA,19137,,,
NA-3,Peshawar 3,,Arbab Muhammad Zahir,ANP,38730,Abdul Latif,PDA,19977,,,
NA-4,Nowshera,,Muhammad Ajmal Khan Khattak,ANP,38389,Pervaiz Khan Khattak,PDA,25722,,,
NA-5,Charsadda,,Molvi Hassan Jan,JUI-F,66452,Abdul Wali Khan,ANP,52929,,,
NA-6,Mardan 1,,Muhammad Azam Khan,ANP,35880,Khanzada Khan,PDA,28616,,,
NA-7,Mardan 2,,Khan Mir Afzal Khan,IJI,37452,Rahim Dad Khan,PDA,24813,,,
NA-8,Swabi,,Rehmanullah,ANP,51909,Saleem Khan,PDA,28750,,,
NA-9,Kohat,,Syed Iftikhar Hussain Gillani,PDA,27848,Molvi Niamatullah,IJI,26493,,,
NA-10,Karak,,Al Haj Muhammad Aslam Khan Khattak,Independent,27866,Moulana Shaheed Ahmad,IJI,14684,,,
NA-11,Abbottabad 1,,Sardar Mehtab Ahmad Khan,IJI,64541,Amanullah Khan Jadoon,Independent,31754,,,
NA-12,Abbottabad 2,,Haji Javed Iqbal Abbasi,IJI,43764,Sardar Gul Khatab,Independent,29247,,,
NA-13,Abbottabad 3,,Gohar Ayub Khan,IJI,52923,Omar Asghar Khan,PDA,30970,,,
NA-14,Mansehra,,Sardar Muhammad Yousaf,Independent,34787,Syed Muzammil Shah,IJI,31457,,,
NA-15,Mansehra 2,,Nawabzada Salah-ud-din Saeed Khan,IJI,19109,Syed Qasim Shah,Independent,16115,,,
NA-16,Mansehra,,Alam Zeb Khan,JUI-F,13556,Khan Muhammad Ayub Khan,Independent,10684,,,
NA-17,Kohistan,,Molvi Muhammad Amin,JUI-F,7752,Malik Said Ahmad,Independent,4607,,,
NA-18,Dera Ismail Khan,,Fazal Karim Khan Kundi,PDA,64533,Moualna Fazal ur Rehman,JUI-F,52890,,,
NA-19,Bannu 1,,Maulvi Ali Akbar,JUI-F,28471,Riaz Khan,PDA,12519,,,
NA-20,Bannu 2,,Nasir Muhammad Khan,IJI,38877,Ahmad Jan,JUI-F,34322,,,
NA-21,Swat 1,,Khaliq Dad Khan,IJI,24891,Ubaidur Rehman,JUI-F,17480,,,
NA-22,Swat 2,,Abdul Matin Khan,Independent,19084,Haji Fazal-e-Khaliq,IJI,18901,,,
NA-23,Swat 3,,Muhammad Afzal Khan,PDA,32515,Shaujat Ali Khan,IJI,28080,,,
NA-24,Chitral,,Shahzada Muhayud Din,IJI,35269,Piar Ali Alana,PDA,20628,,,
NA-25,Dir,,Najmud Din,PDA,28533,Sahibzada Fathullah,IJI,27147,,,
NA-26,Malakand,,Ahmad Hassan,PDA,31331,Maulana Gauhar Rehman Khan,IJI,29888,,,
NA-27,Tribal Area 1 - Mohmand Agency,FATA,Haji Baroz Khan,Independent,,,,,,,
NA-28,Tribal Area 2 - Kurram Agency,,Syed Yousuf Hussain,Independent,607,Abdul Manan,Independent,550,,,
NA-29,Tribal Area 3 - Orakzai Agency,,Spin Gul,Independent,956,Noor Sayed Mian,Independent,955,,,
NA-30,Tribal Area 4 - North Waziristan Agency,,Muhammad Ajmal,Independent,494,Qadar Khan,Independent,281,,,
NA-31,Tribal Area 5 - South Waziristan Agency,,Haji Sakhi Jan,Independent,536,Ghiasuddin,Independent,396,,,
NA-32,Tribal Area 6 - Bajaur Agency,,Haji Lal Khan,Independent,842,Mian Shah Jahan,Independent,639,,,
NA-33,Tribal Area 7 - Khyber Agency,,Haji Muhammad Ayub Afridi,Independent,2080,Malik Nadir Khan,Independent,794,,,
NA-34,"Tribal Area 8: Tribal Areas Attached To Peshawar, Kohat, Bannu, Dera Ismail Khan, Tank And Lakki Marwat Districts",FATA,Malik Muhammad Aslam Khan Afridi,Independent,,,,,,,
NA-35,Islamabad,,Haji Muhammad Nawaz Khokhar,IJI,56795,Raja Peraiz Khan,PDA,43467,,,
NA-36,Rawalpindi 1,,Shahid Khaqan Abbasi,IJI,80305,Raja Muhammad Anwar,PDA,54011,,,
NA-37,Rawalpindi 2,,Raja Muhammad Zaheer Khan,IJI,75784,Raja Abdul Aziz Bhatti,PDA,54753,,,
NA-38,Rawalpindi 3,,Sheikh Rasheed Ahmad,IJI,78107,Chaudhary Mushtaq Hussain,PDA,54701,,,
NA-39,Rawalpindi 4,,Muhammad Ejaz ul Haq,IJI,87829,Raja Shahid Zafar,PDA,57130,,,
NA-40,Rawalpindi 5,,Ch. Nisar Ali Khan,IJI,78530,Ghulam Sarwar Khan,PDA,63021,,,
NA-41,Attock 1,,Shaikh Aftab Ahmad,IJI,71134,Malik Muhammad Aslam Khan,47920,36058,,,
NA-42,Attock 2,,Malik Allah Yar Khan,PPP,68458,Amir Muhamamd Khan,PDA,55174,,,
NA-43,Chakwal,,Lt. General Abdul Majeed Malik,IJI,79873,Sardar Muhammad Ashraf Khan,PDA,60902,,,
NA-44,Chakwal 2,,Sardar Mansoor Hayyat Khan Taman,IJI,79239,Sardar Ghulam Abbas Khan,PDA,69593,,,
NA-45,Jhelum 1,,Chaudhary Muhammad Altaf Hussain,PDA,58806,Raja Muhammad Afzal Khan,IJI,58455,,,
NA-46,Jhelum 2,,Nawabzada Iqbal Mehdi Khan,Independent,57177,Doctor Ghulam Hussain,PDA,53430,,,
NA-47,Sargodha 1,,Ehsan ul Haq Piracha,PDA,55350,Mian Naseer Ahmad,IJI,51092,,,
NA-48,Sargodha 2,,Mian Muhammad Nawaz Sharif,IJI,69141,Liaqat Hayyat,PDA,45274,,,
NA-49,Sargodha 3,,Haji Muhammad Javaid Iqbal Cheema,IJI,59576,Syed Ehsan Qadir Shah,PDA,55131,,,
NA-50,Sargodha 4,,Chaudhary Anwar Ali Cheema,IJI,77073,Riaz Amir alias Abdul Haq,PDA,51581,,,
NA-51,Sargodha-Cum-Khushab,,Malik Muhammad Naeem Khan,IJI,84908,Malik Muhammad Bashir Awan,Independent,61804,,,
NA-52,Khushab,,Malik Khuda Bukhsh Tewana,IJI,61854,Sardar Shuja Muhammad Khan,PDA,51269,,,
NA-53,Mianwali 1,,Maulana Abdul Sattar Khan Niazi,IJI,55848,Doctor Sher Afghan Khan Niazi,PDA,31659,,,
NA-54,Mianwali 2,,Gul Hameed Khan Rokhari,IJI,69501,Doctor Sher Afghan Niaqzi,PDA,34633,,,
NA-55,Bhakkar 1,,Aziz Ahmad Khan,IJI,66846,Bashir Ahmad Khan,Independent,35289,,,
NA-56,Bhakkar 2,,Muhammad Zafar Ullah Khan Dhandla,IJI,52893,Rasheed Akbar Khan Nawani,Independent,38695,,,
NA-57,Faisalabad 1,,Sardar Dildar Ahmad Cheema,IJI,75202,Umar Draz Khan,PDA,58590,,,
NA-58,Faisalabad 2,,Rai Muhammad Aslam Khan,PDA,42857,Arif Hussain,IJI,40273,,,
NA-59,Faisalabad 3,,Alhaj Mian Nasir Ahmad Khan,IJI,46624,Khan Shahadat Ali Khan Baloch,PDA,40722,,,
NA-60,Faisalabad 4,,Muhammad Abdullah Ghazi,IJI,56307,Abdul Saboor,PDA,30275,,,
NA-61,Faisalabad 5,,Chaudhary Muhammad Nazeer Ahmad,IJI,72351,Chaudhary Muhammad Ilyas Ahmad,PDA,61967,,,
NA-62,Faisalabad 6,,Muhammad Khan Junejo,IJI,57208,Ghulam Mustafaq Bajwa,PDA,34925,,,
NA-63,Faisalabad 7,,Muhammad Akram Ansari,IJI,60983,Ahmad Saeed Awan,PDA,50008,,,
NA-64,Faisalabad 8,,Mian Zahid Sarfraz,IJI,62536,Fazal Hussain Rahi,PDA,52165,,,
NA-65,Faisalabad 9,,Chaudhary Sher Ali,IJI,67086,Mehar Abdur Rasheed,PDA,63396,,,
NA-66,Jhang 1,,Amir Hussain Syed,PDA,40124,Riaz Ahmad Lali,IJI,39850,,,
NA-67,Jhang 2,,Moulana Haji Rehmatullah,IJI,57263,Syed Asad Hayyat Shah,PDA,47378,,,
NA-68,Jhang 3,,Qari Isar ul Haq Qasmi,IJI,62486,Nawab Amanullah Khan Sial,PDA,33031,,,
NA-69,Jhang 4,,Syed Faisal Saleh Hayyat,PPP,63642,Syeda Abida Hussain,IJI,48048,,,
NA-70,Jhang 5,,Sahibzada Muhammad Nazir Sultan,PDA,58892,Mehar Akhtar Abbas Bharwana,IJI,58710,,,
NA-71,Toba Tek Singh 1,,Chaudhary Asad ur Rehman,IJI,65540,Javed Ahmad Khan,PDA,57791,,,
NA-72,Toba Tek Singh 2,,Muhammad Ejaz Ul Haq,IJI,76372,Qazi Ghias Ud Din Janbaz,PDA,44752,,,
NA-73,Toba Tek Singh 3,,Hamza,IJI,69499,Haji Muhammad Ishaq,PDA,50194,,,
NA-74,Gujranwala 1,,Chaudhary Hamid Nasir Chatha,IJI,89326,Colonel (R) Ghulam Sarwar Cheema,PDA,54095,,,
NA-75,Gujranwala 2,,Afzal Hussain Tarar,Independent,49406,Syed Muhammad Arif Hussain,IJI,47101,,,
NA-76,Gujranwala 3,,Ghulam Dastgir Khan,IJI,67697,Al-Haj Aman Ullah,PDA,57897,,,
NA-77,Gujranwala 4,,Chauhdary Muhammad Asgahr,IJI,59225,Kh. Muhammad Aslam Lone,PDA,50328,,,
NA-78,Gujranwala 5,,Rana Nazeer Ahmad Khan,IJI,65836,Chaudhary Muhammad Abdullah Virk,PDA,59139,,,
NA-79,Gujranwala 6,,Chaudhary Muhammad Ashraf Warraich,PDA,65262,Ch. Ijaz Ahmad,IJI,62051,,,
NA-80,Gujrat 1,,Chaudhary Tajamul Hussain,IJI,94688,Nawabzada Ghazanfar Ali Gul,PDA,63797,,,
NA-81,Gujrat 2,,Chaudhary Shujaat Hussain,IJI,80861,Chaudhary Ahmad Mukhtar,PDA,74621,,,
NA-82,Gujrat 3,,Syed Manzoor Hussain Shah,IJI,76341,Haji Chaudhary Muhammad Asghari,PDA,65252,,,
NA-83,Gujrat 4,,Nasir Iqbal,IJI,62788,Zafar Ullah Tarar,PDA,52881,,,
NA-84,Gujrat 5,,Chaudhary Muhammad Nawaz,PDA,41086,Umar Hayyat Lailka,IJI,28884,,,
NA-85,Sialkot 1,,Mian Muhammad Shafi,IJI,59515,Mian Masud Ahmad,PDA,38333,,,
NA-86,Sialkot 2,,Chaudhary Ameer Hussain,IJI,67731,Mina Muhammad Rasheed Akhtar,PDA,58596,,,
NA-87,Sialkot 3,,Nazir Ahmad Khan,IJI,81137,Javaid Mahmood Ghuman,PDA,50320,,,
NA-88,Sialkot 4,,Chaudhary Abdul Sattar,IJI,72764,Muhammad Ahmad,PDA,47602,,,
NA-89,Sialkot 5,,Chaudhary Muhammad Sarwar Khan,IJI,67966,Ch. Muhammad Akhtar,PDA,39995,,,
