na,candidate_name,party,votes,rank
NA-1,Ghulam Ahmad Bilour,ANP,51233,1
NA-1,Mohtarma Benazir Bhutto,PDA,38951,2
NA-1,Ghulam Jaffar,Independent,1507,3
NA-1,Muhammad Yousif Qureishi,Independent,1190,4
NA-1,Benazeer,Independent,1067,5
NA-1,Qamar Abbass,Independent,397,6
NA-1,Khalid Mehmood Durrani,PAT,373,7
NA-1,Abdul Majid,Independent,290,8
NA-1,Qazi Shah Jehan,NDP,204,9
NA-1,Syed Javed Hassan Shah,Independent,95,10
NA-2,Arbab Muhammad Jehangir Khan,ANP,31222,1
NA-2,Aftab Ahmad Khan Sherpao,PDA,19137,2
NA-2,Mursaleen Khan,JUI-F,13307,3
NA-2,Muhammad Hassan Khan,Independent,891,4
NA-3,Arbab Muhammad Zahir,ANP,38730,1
NA-3,Abdul Latif,PDA,19977,2
NA-3,Maulana Muhammad Usman,JUI-F,11770,3
NA-3,Pirzada Nabi Amin,Independent,11269,4
NA-4,Muhammad Ajmal Khan Khattak,ANP,38389,1
NA-4,Pervaiz Khan Khattak,PDA,25722,2
NA-4,Mualana Sher Ali Shah,JUI-F,13961,3
NA-4,Muhammad Amin Khattak,Independent,3639,4
NA-5,Molvi Hassan Jan,JUI-F,66452,1
NA-5,Abdul Wali Khan,ANP,52929,2
NA-5,Rawad ul Haq (Retired),Independent,2235,3
NA-6,Muhammad Azam Khan,ANP,35880,1
NA-6,Khanzada Khan,PDA,28616,2
NA-6,Ghulam Rabbani,JUI-F,22235,3
NA-7,Khan Mir Afzal Khan,IJI,37452,1
NA-7,Rahim Dad Khan,PDA,24813,2
NA-7,Haji Muhammad Ahmad,JUI-F,17872,3
NA-7,Muhammad Shah Jahan Khan,PKMAP,1575,4
NA-7,Abdul Akbar Khan,Independent,1174,5
NA-7,Ziarat Khan Mohmand,PMKP-FG,647,6
NA-7,Kar Khan,Independent,621,7
NA-8,Rehmanullah,ANP,51909,1
NA-8,Saleem Khan,PDA,28750,2
NA-8,Qazi Moulana Faizullah,JUI-F,28015,3
NA-8,Yaqoob Khan,Independent,5751,4
