na,candidate_name,party,votes,rank
NA-247,Khawaja Izhar Ul Hassan,MQM-P,65050,1
NA-247,Syed Abbas Husnain,Independent,52058,2
NA-247,Monam Zafar Khan,JIP,23863,3
NA-247,Muhammad Farooq,TLP,14836,4
NA-247,Syed Muhammad Asif Raza,Independent,10323,5
NA-247,Shaikh Muhammad Maaz Feroz,PPP,6355,6
NA-247,A Rashid Mehmood,Independent,4806,7
NA-247,Muhammad Ashraf Jabbar,Independent,2175,8
NA-247,Naheed Parveen,PML-N,2167,9
NA-247,Muhammad Tehamas Ali Khan,Independent,1167,10
NA-247,Hafiz Ahmad Ali,RJUI,889,11
NA-247,Danish Inder Gul Afridi,Independent,458,12
NA-247,Qazi Saleem Haidar,Independent,353,13
NA-247,Sheikh Muhammad Anus Feroz,Independent,333,14
NA-247,Dawood Ahmed Fakhri,PCP,329,15
NA-247,Muhammad Ameen,PMML,327,16
NA-247,Sharafat Hussain,Independent,276,17
NA-247,Amber Naeem,GDA,209,18
NA-247,Fayyaz Ahmed,Independent,193,19
NA-247,Zain ul Abideen,ALI,174,20
NA-247,Khalid Mumtaz,Independent,155,21
NA-247,Muhammad Asghar Ali,Independent,116,22
NA-247,Muhammad Ali,Independent,108,23
NA-247,Tabish Tofeeq,Independent,74,24
NA-247,Riaz Ahmad,Independent,62,25
NA-247,Naveel Ahmed Attari,Independent,51,26
NA-247,Shahida Suleman,Independent,46,27
