na,candidate_name,party,votes,rank
NA-64,Choudhary Salik Hussain,PML-Q,100379,1
NA-64,Qaisara Elahi,Independent,89795,2
NA-64,Choudhary Abdul Karim,TLP,22197,3
NA-64,Sajid Sharif,JIP,4424,4
NA-64,Mubeen Arshad,PPP,1709,5
NA-64,Muhammad Sajjad,PMML,1155,6
NA-64,Aleem Ullah Waraich,Independent,1147,7
NA-64,Majid Rasheed,PTE,857,8
NA-64,Muhammad Yousaf,PAT,447,9
NA-64,Abdul Rashid,JUI-F,421,10
NA-64,Imran Zafar,Independent,305,11
NA-64,Muhammad Afzal Gondal,Independent,190,12
NA-64,Anwar Hussain,PFP,152,13
NA-64,Rehana Abbas,Independent,109,14
NA-64,Zahida Ikhlas,Independent,62,15
NA-64,Zeeshan Afzal Gondal,Independent,44,16
NA-64,Muhammad Arshad Kokhar,Independent,36,17
NA-64,Usman Saeed,Independent,27,18
