na,candidate_name,party,votes,rank
NA-122,Sardar Muhammad Latif Khan Khosa,Independent,117124,1
NA-122,Khawaja Saad Rafique,PML-N,77913,2
NA-122,Muhammad Imtiaz,TLP,15469,3
NA-122,Chaudhary Atif Rafique,PPP,4745,4
NA-122,Zeba Basharat,JIP,4688,5
NA-122,Muhammad Iqbal,Independent,2602,6
NA-122,Hafiz Talha Saeed,PMML,2044,7
NA-122,Syed Shahid Zulfiqar Ali,Independent,957,8
NA-122,Bahadur Khan,Independent,571,9
NA-122,Chaudary Muhammad Umar Akbar,Independent,256,10
NA-122,Aasim Mobeen,Independent,239,11
NA-122,Rukhsana Naveed,Independent,145,12
NA-122,Tahir Bashir,Independent,136,13
NA-122,Muhammad Jahanzaib,Independent,128,14
NA-122,Muhammad Tusadduq,Independent,93,15
NA-122,Chaudhary Sajjad Ahmad,Independent,59,16
NA-122,Neelam Irshad Shaikh,Independent,58,17
NA-122,Habib Ullah,Independent,48,18
NA-122,Rizwan Zia Khan,Independent,42,19
NA-122,Muhammad Nadeem Bajwa,Independent,38,20
NA-122,Ejaz Hussain Minhas,Independent,36,21
