na,candidate_name,party,votes,rank
NA-77,Chaudhry Mahmood Bashir Virk,PML-N,109704,1
NA-77,Rashida Tariq,Independent,91825,2
NA-77,Imtiaz Safdar Warraich,PPP,17059,3
NA-77,Muzammil Iqbal Hashmi,PMML,6538,4
NA-77,Syed Umar Farooq,JIP,5463,5
NA-77,Sheikh Naeem Ahmad Hashmi,Independent,4562,6
NA-77,Rashid Hussain,Independent,2082,7
NA-77,Chaudhary Khadim Hussain,Independent,1518,8
NA-77,Atif Munir,Independent,1072,9
NA-77,Sarfraz Ahmad Cheema,Independent,868,10
NA-77,Umair Javed,Independent,713,11
NA-77,Sultan Ahmad Warraich,Independent,647,12
NA-77,Muhammad Ijaz Arshad,PAT,435,13
NA-77,Zaheer Ahmaad Cheema,Independent,370,14
NA-77,Hassan Mahmood Khan,Independent,349,15
NA-77,Fahad Iqbal,Independent,229,16
NA-77,Muhammad Asif Cheema,Independent,207,17
NA-77,Ali Raza,Independent,204,18
NA-77,Pervaiz Abid Haral,Independent,190,19
NA-77,Mian Wadood Hassan Dar,Independent,186,20
NA-77,Ulfat Rasool Waraich,Independent,148,21
NA-77,Muhammad Arshad,Independent,147,22
NA-77,Mirza Tariq Mehmood,AJPP,127,23
NA-77,Khadija Mahmood,Independent,75,24
NA-77,Tauseef Azam Cheema,Independent,70,25
