na,candidate_name,party,votes,rank
NA-158,Begum Tehmina Doultana,PML-N,111219,1
NA-158,Tahir Iqbal Chaudhry,Independent,103137,2
NA-158,Syed Muhammad Ismail Shah,TLP,18756,3
NA-158,Aftab Ahmad Khan Khichi,Independent,12736,4
NA-158,Sagheer Ahmad,Independent,5142,5
NA-158,Muhammad Kashif Mushtaq Bhabha,PPP,3393,6
NA-158,Kamran Irshad,Independent,1672,7
NA-158,Syed Javed Hussain Bhatti,JIP,1540,8
NA-158,Nairab Khurshid,Independent,1456,9
NA-158,Salma Bibi,PMML,1346,10
NA-158,Muhammad Naveed Akhtar,PAT,669,11
NA-158,Zahid Iqbal Chaudhry,Independent,286,12
NA-158,Muhammad Sajid,Independent,246,13
NA-158,Muhammad Arif,Independent,210,14
NA-158,Ghayoor Aslam Mujeeb,Independent,121,15
