na,candidate_name,party,votes,rank
NA-153,Rana Muhammad Qasim Noon,PML-N,95202,1
NA-153,Dewan Ashiq Hussain Bukhari,Independent,49104,2
NA-153,Qasim Abbas Khan,Independent,47881,3
NA-153,Riaz Hussain Laang,Independent,39694,4
NA-153,Hamid Ali,PPP,17628,5
NA-153,Syed Shahid Zahoor Gilani,TLP,10532,6
NA-153,Rana Ghazanfar Ali Pehlwan,Independent,3244,7
NA-153,Muhammad Abbas Bokhari,Independent,2685,8
NA-153,Muhammad Iqbal,TTNP,1251,9
NA-153,Azhar Ul Haq,JIP,1109,10
NA-153,Ahmad Abbas Khakhi,Independent,1099,11
NA-153,Malik Muhammad Akram Kanhoon,Independent,762,12
NA-153,Naghma Mushtaq Laang,Independent,682,13
NA-153,Muhammad Nazik Kareem,Independent,480,14
NA-153,Tanveer Iqbal,Independent,322,15
NA-153,Siddique Ahmad,Independent,313,16
NA-153,Rana Ejaz Ahmed Noon,Independent,303,17
NA-153,Muhammad Ayub,JUP-N,216,18
NA-153,Mehdi Abbas Khan,Independent,166,19
