na,candidate_name,party,votes,rank
NA-94,Qaiser Ahmad Sheikh,PML-N,79623,1
NA-94,Muhammad Khalid,Independent,72476,2
NA-94,Syed Inayat Ali Shah,PPP,69452,3
NA-94,Rehmat Ullah,TLP,13772,4
NA-94,Muhammad Afzal Shah,Independent,3585,5
NA-94,Muhammad Idrees,Independent,1983,6
NA-94,Abdul Qadir,PRP,1746,7
NA-94,Khurram Abbas,Independent,1308,8
NA-94,Zulfiqar Ali Shah,JIP,1280,9
NA-94,Imran Ali,PMML,1038,10
NA-94,Zahid Qasim,Independent,512,11
NA-94,Nabeel Irfan,Independent,491,12
NA-94,Ali Raza,Independent,294,13
NA-94,Muhammad Adnan,Independent,251,14
NA-94,Jahangir Ahmed,Independent,171,15
NA-94,Muhammad Kamal,ANP,143,16
NA-94,Sahibzada Muhammad Noor Ul Qamar Sialvi,Independent,138,17
NA-94,Muhammad Nawaz,Independent,137,18
NA-94,Syed Shafqat Ali Shah,Independent,131,19
NA-94,Arshad Ahmad Qamar,PML-Q,119,20
NA-94,Syed Azhar Hussain,Independent,28,21
