na,candidate_name,party,votes,rank
NA-33,Syed Shah Ahad Ali Shah,Independent,93474,1
NA-33,Pervez Khattak,PTI-P,26592,2
NA-33,Khan Parvez,ANP,24725,3
NA-33,Ikhtiar Wali,PML-N,21373,4
NA-33,Hafiz Ijaz Ul Haq,JUI-F,19992,5
NA-33,Haji Inayat Ur Rahman,JIP,2723,6
NA-33,Malak Fayaz Ur Rehman,Independent,2538,7
NA-33,Saleem Ullah Khan,PPP,2516,8
NA-33,Khalid Akhtar,Independent,2152,9
NA-33,Nadia Ambreen Khattak,Independent,546,10
NA-33,Irshad Ali,Independent,340,11
NA-33,Mian Sarwar Muzaffar Shah,Independent,124,12
