na,candidate_name,party,votes,rank
NA-104,Sahibzada Muhammad Hamid Raza,Independent,132655,1
NA-104,Raja Daniyal Ahmad,PML-N,92610,2
NA-104,Hafiz Muhammad Abu Bakr,TLP,14626,3
NA-104,Basharat Ali,PPP,3488,4
NA-104,Rana Muhammad Sikander Azam Khan,JIP,3270,5
NA-104,Shakeel Shahid,Independent,2716,6
NA-104,Haq Nawaz,PMML,2630,7
NA-104,Imran Khan,Independent,1892,8
NA-104,Soba Khan,Independent,1331,9
NA-104,Hassan Javid,Independent,556,10
NA-104,Raja Riaz Ahmed,Independent,377,11
NA-104,Rana Muhammad Javed Ashraf,Independent,317,12
NA-104,Muhammad Aslam Iqbal,PNP,313,13
NA-104,Syed Zia Alamdar Hussain,Independent,144,14
NA-104,Hassan Masood,Independent,140,15
NA-104,Muhammad Aaim Zahoor,Independent,130,16
NA-104,Muhammad Nadeem Pasha,Independent,117,17
NA-104,Najam Hussain,Independent,101,18
NA-104,Muhammad Ateeq Ur Rehman,Independent,88,19
NA-104,Hafiz Abid Hussain,PAT,85,20
NA-104,Kashif Nawaz,Independent,84,21
NA-104,Sadiq Ali,Independent,65,22
NA-104,Abdul Manan Aslam,Independent,64,23
NA-104,Firdous Raana,Independent,63,24
NA-104,Rana Ijaz Ahmed,Independent,45,25
NA-104,Sarfraz,Independent,41,26
NA-104,Mian Muhammad Raqafiluz,Independent,34,27
NA-104,Younas Suleman,Independent,29,28
