na,candidate_name,party,votes,rank
NA-49,Sheikh Aftab Ahmad,PML-N,120158,1
NA-49,Tahir Sadiq,Independent,110462,2
NA-49,Allama Hafiz Muhammad Hamid Raza,TLP,36444,3
NA-49,Malik Amin Aslam Khan,Independent,19184,4
NA-49,Iqbal Khan,JIP,15576,5
NA-49,Khurram Shahzad Khan,PPP,7119,6
NA-49,Qari Iftikhar Ahmad Farooqi,PRP,4125,7
NA-49,Muhammad Ameer Awan,PAT,1725,8
NA-49,Siraj Gull,Independent,1135,9
NA-49,Naz Tahir,Independent,859,10
NA-49,Abdullah,PMML,605,11
NA-49,Hamayun Khan,Independent,446,12
