na,candidate_name,party,votes,rank
NA-235,Muhammad Iqbal Khan,MQM-P,20185,1
NA-235,Saif Ur Rehman S/O Taj Alam Khan,Independent,14167,2
NA-235,Muhammad Asif Khan,PPP,11431,3
NA-235,Meraj Ul Huda Siddiqui,JIP,6652,4
NA-235,Sharafat Khan,PML-N,5041,5
NA-235,Saif Ur Rehman S/O Farooq Jan,Independent,2548,6
NA-235,Salman,Independent,1933,7
NA-235,Muhammad Arif,TLP,1563,8
NA-235,Muhammad Ashraf,PRP,1166,9
NA-235,Muhammad Anwar Khan Tareen,Independent,857,10
NA-235,Muhammad Khan,SKQM,508,11
NA-235,Syed Ali Hussain,IPP,203,12
NA-235,Faisal Nadeem Shaikh,PMML,190,13
NA-235,Nushera Bibi,Independent,158,14
NA-235,Kamran Raza,Independent,102,15
NA-235,Janbaz Khan,Independent,95,16
NA-235,Kareem Bakhsh Gabol,Independent,95,17
NA-235,Jhangeer Hussain Jafari,PCP,62,18
NA-235,Khuda Dad,Independent,59,19
NA-235,Muhammad Sher Khan,NDM,52,20
NA-235,Kaleem Ullah Khaskheli,Independent,51,21
NA-235,Awal Khan,Independent,40,22
NA-235,Rehman Dino Mahsera,Independent,37,23
NA-235,Manzoor Ahmed,PKMAP,27,24
NA-235,Muhammad Maqsood,Independent,24,25
NA-235,Shafaqat Ahmed,PDQM,14,26
