na,candidate_name,party,votes,rank
NA-87,Malik Shakir Bashir Awan,PML-N,117775,1
NA-87,Malik Umar Aslam Khan,Independent,108314,2
NA-87,Muhammad Ali Sawal,PPP,14998,3
NA-87,Zamurd Abbas Khan,TLP,14955,4
NA-87,Abdullah Ahmad,JUI-F,9298,5
NA-87,Alhaj Chauhdary Muhammad Nasir Nadeem,JIP,2544,6
NA-87,Rana Shahid Iqbal Chachar,PMML,1262,7
NA-87,Nisar Aslam Awan,Independent,735,8
NA-87,Bahadar Khan,ANP,523,9
NA-87,Haji Fateh Deen,PAT,496,10
NA-87,Raees Muhammad Mumtaz Chachar,Independent,463,11
