na,candidate_name,party,votes,rank
NA-27,Muhammad Iqbal Khan,Independent,85647,1
NA-27,Alhaj Shah Jee Gul Afridi,PML-N,18979,2
NA-27,Hameed Ullah Jan Afridi,JUI-F,15164,3
NA-27,Shah Faisal Afridi,JIP,7907,4
NA-27,Muhammad Sadiq,MOTP,1491,5
NA-27,Shah Hussain Shinwari,ANP,1477,6
NA-27,Muhammad Iqbal Afridi,Independent,1228,7
NA-27,Shah Rehman Khan Shinwari,PPP,1192,8
NA-27,Malik Kashif Ullah Khan,TLP,833,9
NA-27,Abid Afridi,Independent,755,10
NA-27,Muhammad Nowshad,Independent,569,11
NA-27,Shah Jehan,Independent,485,12
NA-27,Noor Ul Haq,Independent,157,13
NA-27,Sherin Khan,Independent,81,14
