na,candidate_name,party,votes,rank
NA-40,Mufti Misbha Uddin S/O Ahmad Uddin,JUI-F,43400,1
NA-40,Aurangzeb Khan,Independent,33799,2
NA-40,Mohsin Javed Dawar,NDM,33256,3
NA-40,Mohsin Faraz,MOTP,15443,4
NA-40,Muhammad Nazir Khan,PML-N,8925,5
NA-40,Zia Ur Rahman,Independent,3473,6
NA-40,Akbar Ali Khan,JIP,1593,7
NA-40,Misbah Uddin S/O Noor Ul Islam,Independent,731,8
NA-40,Ashrafullah,ANP,433,9
NA-40,Misbah Uddin S/O Islam Gul,Independent,405,10
NA-40,Ameer Ur Rehman,Independent,323,11
NA-40,Muhammad Noor Khan,Independent,232,12
NA-40,Muhammad Amin,Independent,138,13
NA-40,Abida,Independent,98,14
NA-40,Luqman Khan,Independent,48,15
