na,candidate_name,party,votes,rank
NA-102,Changez Ahmed Khan,Independent,132553,1
NA-102,Chaudhary Abid Sher Ali,PML-N,100328,2
NA-102,Raja Saleem Abid,TLP,9407,3
NA-102,Naeem Dastgir Khan,PPP,3378,4
NA-102,Hafiz Bahadar Ali,Independent,2894,5
NA-102,Zafar Hussain Khan,JIP,2731,6
NA-102,Rana Abu Khubaib Rehman Khan,PMML,1419,7
NA-102,Abid Sharif,Independent,1228,8
NA-102,Uroj Jahanziib Gill,Independent,1085,9
NA-102,Muhammad Islam,Independent,891,10
NA-102,Sajjad Murshid Gill,Independent,859,11
NA-102,Arslan Arshad,Independent,498,12
NA-102,Muhammad Tayyab,Independent,330,13
NA-102,Khurram Shehzad,PNP,314,14
NA-102,Ch. Abdul Ghafoor Ghafari,Independent,240,15
NA-102,Jahanzeb Imtiaz Gill,Independent,172,16
NA-102,Muhammad Tariq Chaudhary,Independent,153,17
NA-102,Shahid Javed,Independent,111,18
NA-102,Rana Adnan Javed,Independent,91,19
NA-102,Umer Farooq,Independent,88,20
NA-102,Malik Asghar Ali Qaiser,Independent,85,21
NA-102,Adil Rafi Cheema,Independent,77,22
NA-102,Muhammad Adil Waseem,Independent,75,23
NA-102,Hassan Akash,Independent,64,24
NA-102,Shafaat Ali,Independent,60,25
NA-102,Sana Ullah Shami,Independent,59,26
NA-102,Muhammad Latif,Independent,54,27
NA-102,Muhammad Waris,Independent,48,28
NA-102,Safeer Shehzad,Independent,47,29
NA-102,Abdur Rasheed Chaudhary,Independent,47,30
NA-102,Zeeshan Ali,Independent,44,31
NA-102,Javed Niaz Manj,Independent,39,32
NA-102,Muhammad Yaqub,Independent,36,33
NA-102,Ghulam Mustafa,AJPP,36,34
NA-102,Khalid Shafique,Independent,36,35
NA-102,Muhammad Waqar Ahmed,Independent,30,36
NA-102,Muhammad Jawad,Independent,27,37
NA-102,Sardmad Fazal Hussain,Independent,27,38
NA-102,Hanan Tahir Shah,Independent,18,39
NA-102,Shahzad Karim,Independent,18,40
