na,candidate_name,party,votes,rank
NA-9,Junaid Akbar,Independent,113545,1
NA-9,Syed Ahmad Ali Shah,PPP,40785,2
NA-9,Mufti Kifayat Ullah,JUI-F,16785,3
NA-9,Jamal Ud Din,JIP,16268,4
NA-9,Sajjad Ahmad,PML-N,5706,5
NA-9,Shahid Ullah,TLP,889,6
NA-9,Muhammad Zeeshan,PTI-P,787,7
NA-9,Fazal Muhammad,Independent,344,8
NA-9,Mansoor Sadiq,Independent,344,9
NA-9,Irfan Muazam,Independent,260,10
NA-9,Luqman Khan,PNP,197,11
NA-9,Nazia Hassan,Independent,143,12
NA-9,Rasheed Ahmad,Independent,140,13
NA-9,Sabz Ali,Independent,94,14
NA-9,Babu Shah Zaman,Independent,67,15
