na,candidate_name,party,votes,rank
NA-41,Sher Afzal Khan Marwat,Independent,117599,1
NA-41,Maulana Asjad Mahmood,JUI-F,69000,2
NA-41,Salim Saif Ullah Khan,Independent,46540,3
NA-41,Muhammad Riaz Khan,ANP,2104,4
NA-41,Qudrat Ullah Khan,Independent,1991,5
NA-41,Syed Muhammad Ali Shah,TLP,1714,6
NA-41,Imran Ullah Khan,Independent,502,7
NA-41,Akhtar Munir Marwat,Independent,456,8
NA-41,Najib Ullah Khan,Independent,376,9
NA-41,Masood Ur Rehman,Independent,356,10
NA-41,Inam Ullah Khan S/O Muhammad Qasim Jan,Independent,259,11
NA-41,Muhammad Fawad Raza Zakori,Independent,253,12
NA-41,Ameer Nawaz Khan,Independent,187,13
NA-41,Tariq Saeed,Independent,180,14
NA-41,Inam Ullah Khan S/O Mirza Ali Khan,Independent,150,15
NA-41,Ishfaq Ahmad Khan,Independent,111,16
NA-41,Noor Saleem Malik,Independent,99,17
NA-41,Riaz Ullah Khan,Independent,94,18
NA-41,Ishfaq Muhammad,Independent,90,19
NA-41,Adnan Khan,Independent,89,20
NA-41,Ghulam Akhbar,Independent,87,21
NA-41,Sana Ullah Khan,Independent,60,22
NA-41,Mansoor Kamal Marwat,PML-N,53,23
NA-41,Daud Khan,Independent,49,24
NA-41,Muhammad Iqbal,Independent,46,25
NA-41,Salah Uddin,Independent,44,26
NA-41,Malik Noor Aslam Khan,Independent,42,27
NA-41,Abdul Qadeer Khan,Independent,41,28
NA-41,Irfan Ullah,JIP,39,29
NA-41,Muhmmad Arif Khan,Independent,37,30
NA-41,Rafi Ullah Khan Marwat,Independent,29,31
NA-41,Nawab Ali Khan,Independent,25,32
NA-41,Naila Khan,Independent,24,33
NA-41,Zafar Ullah Khan,Independent,19,34
NA-41,Rafi Ullah Khan,Independent,18,35
NA-41,Zahoor Ud Din,Independent,12,36
NA-41,Abdullah,Independent,11,37
NA-41,Haroon Naimat Ullah,Independent,7,38
NA-41,Abdul Waheed Khan,RJUI,5,39
