na,candidate_name,party,votes,rank
NA-52,Raja Parvaiz Ashraf,PPP,113015,1
NA-52,Tariq Aziz Bhatti,Independent,91918,2
NA-52,Raja Muhammad Javed Ikhlas,PML-N,71884,3
NA-52,Choudhry Muhammad Riaz,TLP,37001,4
NA-52,Choudhry Abid Hussain,JIP,3727,5
NA-52,Farrukh Mehmood Siyal,Independent,2378,6
NA-52,Ahmad Raza,Independent,2159,7
NA-52,Mukhtar Ali,TLI,1286,8
NA-52,Khalid Mobeen,JUI-F,1104,9
NA-52,Zaffar Mehmood Choudhry,Independent,667,10
NA-52,Junaid Mehmood,Independent,628,11
NA-52,Gull Ikhlaq Hussain,Independent,605,12
NA-52,Azmat Ali Kiyani,PMML,312,13
NA-52,Sajid Mehmood Janjua,Independent,296,14
NA-52,Naveer Qurban,Independent,290,15
NA-52,Sohail Abbas Raja,Independent,285,16
NA-52,Muhammad Asif Ali,Independent,228,17
NA-52,Tahir Jamil,Independent,196,18
NA-52,Sajjad Ahmad,Independent,95,19
