na,candidate_name,party,votes,rank
NA-248,Khalid Maqbool Siddique,MQM-P,103082,1
NA-248,Arsalan Khalid,Independent,86342,2
NA-248,Muhammad Babar Khan,JIP,38881,3
NA-248,Muhammad Amjid Ali,TLP,13134,4
NA-248,Muhammad Hassan Khan,PPP,5448,5
NA-248,Nisar Ahmad,Independent,4490,6
NA-248,Shaikh Muhammad Owais Qarni,Independent,2230,7
NA-248,Syed Saif Uddin Qadri,Independent,1907,8
NA-248,Muhammad Anwar Azeem Khan,IPP,1334,9
NA-248,Muhammad Asif Khan,Independent,687,10
NA-248,Syed Naveed Aziz,Independent,683,11
NA-248,Muhammad Aslam Khan,Independent,673,12
NA-248,Jowhar Abid,Independent,651,13
NA-248,Syed Sadiq Raza Rizvi Jarchvi,Independent,541,14
NA-248,Noreen Kamran,PMML,467,15
NA-248,Naveed Hasan,MQM,386,16
NA-248,Talha Jameel,Independent,375,17
NA-248,Sheraz Ahmad Nagani,Independent,357,18
NA-248,Rashid Zameer Khan,Independent,355,19
NA-248,Muhammad Imran Shah,Independent,306,20
NA-248,Misbah,Independent,304,21
NA-248,Shaheen Khan,GDA,302,22
NA-248,Sarwat Israr,Independent,288,23
NA-248,Muhammad Aftab Uddin Baqai,Independent,266,24
NA-248,Rana Muhammad Waseem Akram,Independent,233,25
NA-248,Sumbul Akhtar,PCP,229,26
NA-248,Shahid Zafar Khan,Independent,225,27
NA-248,Syed Aamir Wahidi,Independent,208,28
NA-248,Uzma Muneeb,Independent,171,29
NA-248,Atta ul Mustafa Jameel Rathore,Independent,165,30
NA-248,Jalal Uddin Bachlani,Independent,140,31
NA-248,Ghulam Ali,Independent,118,32
NA-248,Sheikh Salahuddin,Independent,116,33
NA-248,Abdul Samad Khan,PMA,99,34
