na,candidate_name,party,votes,rank
NA-1,Muhammad Yousaf Khattak,PML-Q,44905,1
NA-1,Air Marshal (R) Asghar Khan,PNA,34040,2
NA-1,Jan Akbar,Independent,1374,3
NA-2,Arbab Muhammad Jahangir Khan,PPP,32399,1
NA-2,Arbab Saif Ur Rehman,PNA,30270,2
NA-2,Muhammad Nazeer Ullah,PML-Q,2031,3
NA-2,Squadron Leader (R) Qazi Shah Jahan,Independent,685,4
NA-2,Muhammad Aslam Khan,Independent,641,5
NA-3,Aftab Ahmad Khan Sherpao,PPP,41227,1
NA-3,Sardar Sher Baz Khan Mazari,PNA,32381,2
NA-3,Saif Ur Rehman,Independent,2653,3
NA-4,Begum Naseem Wali Khan,PNA,48653,1
NA-4,Abdur Rehman Khan,PPP,26079,2
NA-4,Abdul Hanan,Independent,2226,3
NA-4,Said Karim Alias Karimi,Independent,1162,4
NA-5,Moulana Abdul Haq,PNA,49024,1
NA-5,Nasarullah Khan Khattak,PPP,33405,2
NA-6,Khan Meer Afzal Khan,PPP,42042,1
NA-6,Dilbar Khan,PNA,30577,2
NA-6,Pir Abdul Sattar,PMLQ,1935,3
NA-7,Muhammad Yousif Khan,PNA,32133,1
NA-7,Sarfraz Khan,PPP,30820,2
NA-7,Muhammad Amin Khan,Independent,3205,3
NA-8,Begum Nasim Wali Khan,PNA,36585,1
NA-8,Abdul Sattar Khan,PPP,21031,2
NA-8,Saif Ur Rehman,PMLQ,7975,3
NA-9,Ali Gohar Khan,PNA,33724,1
NA-9,Haji Abdul Mastan,PPP,18139,2
NA-9,Muhammad Zaman,PML-Q,7809,3
NA-10,Moulana Habib Gul,PNA,29491,1
NA-10,Syed Hassan Jan,PPP,16329,2
NA-10,Nawabzada Azmat Ali Khan,Independent,13705,3
NA-10,Gull Zaman,Independent,1133,4
NA-11,Molvi Naimat Ullah,PNA,25546,1
NA-11,Muhammad Aslam Khan Khattak,PPP,14997,2
NA-11,Muhammad Yousif Khan,PMLQ,8774,3
NA-12,Muhammad Iqbal Khan Jadoon,PPP,32136,1
NA-12,Air Marshal (R) Asghar Khan,PNA,26954,2
NA-12,Abdul Qayyum Khan,PML-Q,14494,3
NA-12,Malik Abdul Aziz,Independent,323,4
NA-13,Air Marshal (R) Asghar Khan,PNA,35711,1
NA-13,Sardar Muhammad Fazal E Raziq Khan,PPP,17172,2
NA-13,Sardar Inayat ur Rehman Abbasi,PML-Q,8408,3
NA-13,Muhammad Azam Khan,Independent,4456,4
NA-13,Sardar Mumtaz Alam,Independent,4197,5
NA-14,Gohar Ayub Khan,PNA,40071,1
NA-14,Akhtar Nawaz Khan,PPP,33142,2
NA-14,Fida Muhammad Khan,Independent,2445,3
NA-14,Muhammad Hayat Khan,PML-Q,2290,4
NA-14,Moulana Nisar Ahmad,Independent,193,5
NA-15,Muhammad Hanif Khan,PPP,27589,1
NA-15,Shaukat Ali Khan,PNA,20743,2
NA-15,Muhammad Akbar Khan,PML-Q,15636,3
NA-15,Sardar Abdur Rehman,Independent,10011,4
NA-15,Sardar Muhammad Ayub,Independent,612,5
NA-16,Fakhar uz Zaman Khan,PNA,20459,1
NA-16,Moulana Abdul Hakeem,PPP,9164,2
NA-16,Dilbar Khan,PML-Q,1707,3
NA-16,Alamzeb Khan,Independent,1617,4
NA-16,Bakhtiar Khan,Independent,1415,5
NA-16,Muhammad Yousif,Independent,607,6
NA-16,Sahibzada Abdul Mateen,Independent,540,7
NA-16,Jumma Khan,Independent,196,8
NA-16,Syed Chiragh Uddin Shah,independent,129,9
NA-17,Haji Faqir Muhammad Khan,PNA,14190,1
NA-17,Muhammad Ayub Khan,PPP,9538,2
NA-17,Moulana Abdul Baqi,JUI-H,6541,3
NA-17,Malik Muhammad Maskeen,Independent,5071,4
NA-17,Syed Chiraguddin Shah,Independent,3795,5
NA-17,Masoom Khan,Independent,1853,6
NA-17,Khanzada Khan,Independent,327,7
NA-17,Islam Khan,Independent,161,8
NA-18,Moulana Mufti Mehmood,PNA,65972,1
NA-18,Gulzar Ahmad Khan,PPP,63387,2
NA-19,Moulana Sadru Shaheed,PNA,30161,1
NA-19,Muhammad Umar Jan Khan,PPP,13794,2
NA-19,Abdul Samad Khan,Independent,3701,3
NA-19,Molvi Sahib Hazrat Ali,Independent,3191,4
NA-19,Zar Ali Shah,PML-Q,1569,5
NA-19,Muhammad Akbar Shah,Independent,465,6
NA-19,Shamraz Khan,Independent,199,7
NA-20,Ahmed Jan,PNA,33960,1
NA-20,Anwar Kamal Khan,PPP,24402,2
NA-20,Latif Khan,Independent,11903,3
NA-21,Mian Gul Amirzeb,PPP,23822,1
NA-21,Karim Bakhsh,PNA,20624,2
NA-21,Mian Gull Aurangzaib,PMLQ,13532,3
NA-22,Haji Fazal e Raziq,PNA,30140,1
NA-22,Raheem Zada,PPP,16103,2
NA-22,Rahim Shah,PML-Q,4521,3
NA-22,Zarain,Independent,698,4
NA-23,Fateh Muhammad Khan,PPP,27458,1
NA-23,Molvi Abdur Rehman,PNA,22126,2
NA-23,Ahmad Jan,PML-Q,5497,3
NA-23,Muzaffar Syed,Independent,1675,4
NA-23,Muahmmad Asfand Yar,JUI-H,651,5
NA-23,Sultan Khan,Independent,376,6
NA-23,Habib Ullah Khan,Independent,213,7
NA-24,Muhammad Wali Khan,PPP,21518,1
NA-24,Abdul Rehman,PNA,18379,2
NA-24,Afzal   Ali,Independent,8210,3
NA-24,Burhan   Uddin Khan,Independent,2436,4
NA-24,Saif   Ullah Jan,Independent,1204,5
NA-24,Muhammad Ajmal Khan,Independent,779,6
NA-25,Gauhar Rehman,PNA,31895,1
NA-25,Lal Muhammad Khan,PPP,24255,2
NA-25,Muhammad Qasim,Independent,5042,3
NA-25,Abdul Wahid,PML-Q,2117,4
NA-25,Zarain Khan,Independent,1230,5
NA-25,Zarif Shah,Independent,302,6
NA-25,Saif Ur Rehman,Independent,139,7
