na,constituency_name,districts
NA-99,Gujranwala,Gujranwala;Hafizabad
NA-100,Gujranwala,Gujranwala;Hafizabad
NA-101,Gujranwala,Gujranwala;Hafizabad
NA-102,Gujranwala,Gujranwala;Hafizabad
NA-103,Gujranwala,Gujranwala;Hafizabad
NA-104,Sialkot,Sialkot;Narowal
NA-105,Sialkot,Sialkot;Narowal
NA-106,Sialkot,Sialkot;Narowal
NA-107,Sialkot,Sialkot;Narowal
NA-108,Sialkot,Sialkot;Narowal
NA-109,Sialkot,Sialkot;Narowal
NA-110,Sialkot,Sialkot;Narowal
NA-111,Multan,Multan;Khanewal;Lodhran
NA-112,Multan,Multan;Khanewal;Lodhran
NA-113,Multan,Multan;Khanewal;Lodhran
NA-114,Multan,Multan;Khanewal;Lodhran
NA-115,Multan,Multan;Khanewal;Lodhran
NA-116,Multan,Multan;Khanewal;Lodhran
NA-117,Multan,Multan;Khanewal;Lodhran
NA-118,Multan,Multan;Khanewal;Lodhran
NA-119,Multan,Multan;Khanewal;Lodhran
NA-120,Multan,Multan;Khanewal;Lodhran
NA-121,Vehari,Vehari
NA-122,Vehari,Vehari
NA-123,Vehari,Vehari
NA-124,Dera Ghazi Khan,Dera Ghazi Khan;Rajanpur
NA-125,Dera Ghazi Khan,Dera Ghazi Khan;Rajanpur
NA-126,Dera Ghazi Khan,Dera Ghazi Khan;Rajanpur
NA-127,Muzaffargarh,Muzaffargarh;Layyah
NA-128,Muzaffargarh,Muzaffargarh;Layyah
NA-129,Muzaffargarh,Muzaffargarh;Layyah
NA-130,Muzaffargarh,Muzaffargarh;Layyah
NA-131,Muzaffargarh,Muzaffargarh;Layyah
NA-132,Sahiwal,Sahiwal;Okara;Pakpattan
NA-133,Sahiwal,Sahiwal;Okara;Pakpattan
NA-134,Sahiwal,Sahiwal;Okara;Pakpattan
NA-135,Sahiwal,Sahiwal;Okara;Pakpattan
NA-136,Sahiwal,Sahiwal;Okara;Pakpattan
NA-137,Sahiwal,Sahiwal;Okara;Pakpattan
NA-138,Sahiwal,Sahiwal;Okara;Pakpattan
NA-139,Sahiwal VIII,Sahiwal;Okara;Pakpattan
NA-140,Bahawalpur,Bahawalpur
NA-141,Bahawalpur II,Bahawalpur
NA-142,Bahawalpur,Bahawalpur
NA-143,Bahawalpur Bahawalnagar,Bahawalpur;Bahawalnagar
NA-144,Bahawalnagar,Bahawalnagar
NA-145,Bahawalnagar,Bahawalnagar
NA-146,Bahawalnagar,Bahawalnagar
NA-147,Rahim Yar Khan,Rahim Yar Khan
NA-148,Rahim Yar Khan,Rahim Yar Khan
NA-149,Rahim Yar Khan,Rahim Yar Khan
NA-150,Rahim Yar Khan,Rahim Yar Khan
NA-151,Sukkur,Sukkur;Ghotki
NA-152,Sukkur,Sukkur;Ghotki
NA-153,Sukkur,Sukkur;Ghotki
NA-154,Sukkur,Sukkur;Ghotki
NA-155,Jacobabad,Jacobabad;Kashmore
NA-156,Jacobabad,Jacobabad;Kashmore
NA-157,Nawabshah,Shaheed Benazirabad;Naushehro Feroze
NA-158,Nawabshah,Shaheed Benazirabad;Naushehro Feroze
NA-159,Nawabshah,Shaheed Benazirabad;Naushehro Feroze
NA-160,Nawabshah,Shaheed Benazirabad;Naushehro Feroze
NA-161,Khairpur,Khairpur
NA-162,Khairpur,Khairpur
NA-163,Larkana,Larkana;Kambar-Shahdadkot
NA-164,Larkana,Larkana;Kambar-Shahdadkot
NA-165,Larkana,Larkana;Kambar-Shahdadkot
NA-166,Hyderabad,Hyderabad
NA-167,Hyderabad,Hyderabad
NA-168,Hyderabad,Hyderabad
NA-169,Hyderabad,Hyderabad
NA-170,Hyderabad,Hyderabad
NA-171,Badin,Badin
NA-172,Badin,Badin
NA-173,Tharparkar,Tharparkar;Mirpurkhas;Umerkot
NA-174,Tharparkar,Tharparkar;Mirpurkhas;Umerkot
NA-175,Tharparkar,Tharparkar;Mirpurkhas;Umerkot
NA-176,Dadu,Dadu;Jamshoro
NA-177,Dadu,Dadu;Jamshoro
NA-178,Dadu,Dadu;Jamshoro
NA-179,Sanghar I,Sanghar
NA-180,Sanghar,Sanghar
NA-181,Thatta,Thatta
NA-182,Thatta,Thatta
NA-183,Karachi,Karachi
NA-184,Karachi,Karachi
NA-185,Karachi,Karachi
NA-186,Karachi,Karachi
NA-187,Karachi,Karachi
NA-188,Karachi,Karachi
NA-189,Karachi,Karachi
NA-190,Karachi,Karachi
NA-191,Karachi,Karachi
NA-192,Karachi,Karachi
NA-193,Karachi,Karachi
NA-194,Quetta,Quetta
NA-195,Quetta,Quetta
NA-196,Quetta,Quetta
NA-197,Sibi,Sibi
NA-198,Sibi,Sibi
NA-199,Kalat,Kalat
NA-200,Kalat,Kalat
