na,constituency_name,province,winner_name,winner_party,winner_votes,runnerup_name,runnerup_party,runnerup_votes,registered_voters,votes_polled,turnout_pct
NA-1,Peshawar,,Muhammad Yousaf Khattak,PML-Q,44905,Air Marshal (R) Asghar Khan,PNA,34040,,,
NA-2,Peshawar,,Arbab Muhammad Jahangir Khan,PPP,32399,Arbab Saif Ur Rehman,PNA,30270,,,
NA-3,Peshawar,,Aftab Ahmad Khan Sherpao,PPP,41227,Sardar Sher Baz Khan Mazari,PNA,32381,,,
NA-4,Peshawar,,Begum Naseem Wali Khan,PNA,48653,Abdur Rehman Khan,PPP,26079,,,
NA-5,Peshawar,,Moulana Abdul Haq,PNA,49024,Nasarullah Khan Khattak,PPP,33405,,,
NA-6,Mardan,,Khan Meer Afzal Khan,PPP,42042,Dilbar Khan,PNA,30577,,,
NA-7,Mardan,,Muhammad Yousif Khan,PNA,32133,Sarfraz Khan,PPP,30820,,,
NA-8,Mardan,,Begum Nasim Wali Khan,PNA,36585,Abdul Sattar Khan,PPP,21031,,,
NA-9,Mardan,,Ali Gohar Khan,PNA,33724,Haji Abdul Mastan,PPP,18139,,,
NA-10,Kohat,,Moulana Habib Gul,PNA,29491,Syed Hassan Jan,PPP,16329,,,
NA-11,Kohat,,Molvi Naimat Ullah,PNA,25546,Muhammad Aslam Khan Khattak,PPP,14997,,,
NA-12,Abbottabad,,Muhammad Iqbal Khan Jadoon,PPP,32136,Air Marshal (R) Asghar Khan,PNA,26954,,,
NA-13,Abbottabad,,Air Marshal (R) Asghar Khan,PNA,35711,Sardar Muhammad Fazal E Raziq Khan,PPP,17172,,,
NA-14,Abbottabad,,Gohar Ayub Khan,PNA,40071,Akhtar Nawaz Khan,PPP,33142,,,
NA-15,Mansehra,,Muhammad Hanif Khan,PPP,27589,Shaukat Ali Khan,PNA,20743,,,
NA-16,Mansehra,,Fakhar uz Zaman Khan,PNA,20459,Moulana Abdul Hakeem,PPP,9164,,,
