na,candidate_name,party,votes,rank
NA-256,Muhammad Akhtar Mengal,BNP,65952,1
NA-256,Mir Abdul Rehman Zehri,PPP,29074,2
NA-256,Nawabzada Meer Israr ullah Zehri,Independent,18318,3
NA-256,Mir Shafiq Ur Rehman Mengal,Independent,12127,4
NA-256,Tahir Uddin Shah,TLP,4206,5
NA-256,Mir Ikhalaq Ahmad Khurani,Independent,1790,6
NA-256,Maulana Muhammad Aslam Gazgi,JIP,1344,7
NA-256,Abdul Khaliq,PML-N,1063,8
NA-256,Yasir Ahmad,Independent,953,9
NA-256,Manzoor Ali,Independent,649,10
NA-256,Abdul Quddus,Independent,528,11
NA-256,Sanaullah,PRP,277,12
NA-256,Shahzadi Laiba,Independent,169,13
NA-256,Mohy Uddin,Independent,141,14
NA-256,Muhammad Hassan,RJUI,57,15
