na,candidate_name,party,votes,rank
NA-255,Mir Khan Muhammad Jamali,PML-N,45404,1
NA-255,Mir Changez Khan Jamali,PPP,39398,2
NA-255,Meer Javed Khan Jamali,Independent,23415,3
NA-255,Mir Nisar Ahmad Khosa,Independent,18367,4
NA-255,Muhammad Arif Murad Rind,Independent,13492,5
NA-255,Mohammad Rafique Bhatti,JIP,10340,6
NA-255,Majida Abro,JQM,6937,7
NA-255,Mir Hussain Sasoli,JUI-F,4501,8
NA-255,Mir Shakir Hussain Khan Khosa,Independent,3485,9
NA-255,Azhar Hussain Lashari,TLP,2420,10
NA-255,Ghulam Mujtaba Abro,Independent,1903,11
NA-255,Mir Muhammad Naeem Khoosa,NP,1810,12
NA-255,Mir Moazam Ali Bhangar,Independent,1760,13
NA-255,Haji Abdul Ghafoor Mengal,BNP,1392,14
NA-255,Mir Muhammad Sadiq Umrani,Independent,1098,15
NA-255,Hazoor Bakhsh Jakhrani,JWP,1025,16
NA-255,Mamtaz Ali,Independent,944,17
NA-255,Farooq Jamali,Independent,557,18
NA-255,Ghulam Nabi,Independent,437,19
NA-255,Abdul Sattar,MQM-P,300,20
NA-255,Nasibullah,Independent,284,21
NA-255,Sardar Abdul Sattar Khan,PMML,280,22
NA-255,Syed Akbar Shah,Independent,249,23
NA-255,Abdul Farooque,Independent,224,24
NA-255,Sabir Hussain,Independent,222,25
NA-255,Izhar Hussain,Independent,210,26
NA-255,Muhammad Akbar,Independent,192,27
NA-255,Ahmad Nawaz,Independent,185,28
NA-255,Asadullah Khan,Independent,181,29
NA-255,Imran Khan,Independent,174,30
NA-255,Muhammad Dawood Naqshbandi,JUP-N,151,31
NA-255,Sahib Jan Lashari,Independent,147,32
NA-255,Wahid Bakhsh,Independent,143,33
NA-255,Ameer Zadi,Independent,141,34
NA-255,Muhammad Najeeb,Independent,129,35
NA-255,Azizullah Satankzai,RJUI,127,36
NA-255,Khurram Fattah,Independent,122,37
NA-255,Mir Godha Khan Hejwani,Independent,90,38
NA-255,Muhammad Ismail,ANP,90,39
NA-255,Abdul Latif,JUI-N,74,40
NA-255,Adam Khan,Independent,57,41
NA-255,Muhammad Waris,Independent,55,42
NA-255,Nobat Khan,Independent,38,43
NA-255,Asif Hussain,Independent,36,44
NA-255,Ruqia Sultana,MWM,34,45
NA-255,Zameer Hussain,Independent,33,46
