year,seat,constituency,province,recorded_winner,party,winner_votes,winner_vote_share_pct,registered_voters,turnout_pct,margin_pp,candidate_count
1997,NA-2,Peshawar 2,Khyber Paktunkhwa (NWFP),Arbab M. Jehangir Khan,Awami National Party,24094,54.1,180496,25.3,26.2,7
1997,NA-3,Peshawar 3,Khyber Paktunkhwa (NWFP),Arbab Saadullah Khan,Awami National Party,48451,67.5,235412,31.6,39.3,4
1997,NA-4,Nowshera,Khyber Paktunkhwa (NWFP),Wali M. Khan,Awami National Party,43511,62.8,221331,32.5,30.7,4
1997,NA-5,Charsadda,Khyber Paktunkhwa (NWFP),Asfand Yar Wali,Awami National Party,53059,52.1,344795,30.4,18.0,7
1997,NA-6,Mardan 1,Khyber Paktunkhwa (NWFP),Haji Naseem-Ur-Rehman,Awami National Party,36412,60.7,249256,24.5,34.8,4
1997,NA-7,Mardan 2,Khyber Paktunkhwa (NWFP),M. Azam Khan,Awami National Party,29117,39.5,263959,28.6,16.3,9
1997,NA-8,Swabi,Khyber Paktunkhwa (NWFP),Haji Rehmanullah,Awami National Party,39828,37.5,327086,33.4,3.1,12
1997,NA-9,Kohat-Cum-Hangu,Khyber Paktunkhwa (NWFP),Javed Ibrahim Paracha,Pakistan Muslim League (Nawaz),62412,65.6,361656,27.1,47.6,5
1997,NA-10,Karak,Khyber Paktunkhwa (NWFP),Sahms-Ur-Rehman,Awami National Party,22959,41.1,178803,32.0,13.2,9
1997,NA-11,Abbbottabad-Cum-Haripur 1,Khyber Paktunkhwa (NWFP),Sardar Mehtab Ahmad Khan,Pakistan Muslim League (Nawaz),55341,63.4,276034,32.3,39.1,7
1997,NA-12,Abbbottabad-Cum-Haripur 2,Khyber Paktunkhwa (NWFP),Mian M. Nawaz Sharif,Pakistan Muslim League (Nawaz),62070,70.9,273394,32.8,47.7,4
1997,NA-13,Haripur,Khyber Paktunkhwa (NWFP),Gohar Ayub Khan,Pakistan Muslim League (Nawaz),73150,73.2,256699,40.1,61.6,4
1997,NA-14,Mansehra 1,Khyber Paktunkhwa (NWFP),Sardar M. Yusuf,Pakistan Muslim League (Nawaz),46918,61.6,260418,30.1,33.8,5
1997,NA-15,Mansehra-Cum-Haripur,Khyber Paktunkhwa (NWFP),Nawabzada Salahuddin Saeed,Pakistan Muslim League (Nawaz),20438,31.7,240414,27.5,4.3,5
1997,NA-16,Batagram-Cum-Mansehra,Khyber Paktunkhwa (NWFP),M. Nawaz Khan,Pakistan Muslim League (Nawaz),17242,49.5,102241,34.8,13.1,3
1997,NA-17,Kohistan,Khyber Paktunkhwa (NWFP),Aurangzeb,Independents,10686,46.0,158178,15.3,10.7,7
1997,NA-18,Dera Ismail Khan-Cum-Tank-Cum-Kulachi,Khyber Paktunkhwa (NWFP),Alhaj Sardar Umer Farooq Khan,Pakistan Muslim League (Nawaz),74486,43.8,446445,39.1,12.1,12
1997,NA-19,Bannu,Khyber Paktunkhwa (NWFP),Malik Nasir Khan,Pakistan Muslim League (Nawaz),19070,30.1,217196,29.8,1.8,10
1997,NA-20,Lakki Marwat-Cum-Bannu,Khyber Paktunkhwa (NWFP),Haji M. Kabir Khan Marwat,Pakistan Muslim League (Nawaz),35772,41.8,241264,36.3,0.4,10
1997,NA-21,Swat 1,Khyber Paktunkhwa (NWFP),Mian Gul Aurangzeb,Pakistan Muslim League (Nawaz),25018,40.6,237405,26.9,17.2,7
1997,NA-22,Swat-Cum-Shangla,Khyber Paktunkhwa (NWFP),Shujaat Ali Khan,Pakistan Muslim League (Nawaz),25142,35.9,293667,25.0,19.7,9
1997,NA-23,Bunair-Cum-Shangla,Khyber Paktunkhwa (NWFP),Abdul Matin Khan,Awami National Party,22662,34.9,282519,23.6,11.5,6
1997,NA-24,Chitral,Khyber Paktunkhwa (NWFP),Shahzada Mohyuddin,Pakistan Muslim League (Nawaz),24302,48.6,124469,41.5,24.1,4
1997,NA-25,Upper Dir-Cum-Lower Dir,Khyber Paktunkhwa (NWFP),Inayat Khan,Pakistan Muslim League (Nawaz),23328,50.8,330400,14.5,15.1,7
1997,NA-26,Malakand Protected Area-Cum-Lower Dir,Khyber Paktunkhwa (NWFP),Alhaj M. Khan,Pakistan Muslim League (Nawaz),33477,49.4,287469,24.3,16.3,6
1997,NA-27,Tribal Area 1: Mohmand Agency,Islamabad and FATA,Bahroz Khan,Independents,8725,15.5,168796,33.8,0.2,35
