na,candidate_name,party,votes,rank
NA-117,Abdul Aleem Khan,IPP,91490,1
NA-117,Ali Ijaz,Independent,80854,2
NA-117,Saif Ur Rehman,TLP,38162,3
NA-117,Syed Asif Akhter Hashmi,PPP,3950,4
NA-117,Jahangir Ahmad,JIP,3165,5
NA-117,Muhammad Imran Khan,Independent,2831,6
NA-117,Muhammad Hussain Amir,PMML,1844,7
NA-117,Zaman Naseeb,Independent,1666,8
NA-117,Muhammad Latif Khan,Independent,1510,9
NA-117,Azeem Yaseen,Independent,1252,10
NA-117,Muhammad Atif,Independent,378,11
NA-117,Ibrar Ul Haq,Independent,225,12
NA-117,Furrukh Rafique,Independent,192,13
NA-117,Syed Asghar Raza Naqvi,Independent,177,14
NA-117,Mian Mehmood Ahmad,Independent,153,15
NA-117,Muhammad Tanveer,Independent,146,16
NA-117,Akmal Khan,Independent,134,17
NA-117,Muhammad Rauf Mirza,Independent,120,18
NA-117,Ch Muhammad Asghar,Independent,91,19
NA-117,Ch. Jawad Khalid,Independent,80,20
