na,candidate_name,party,votes,rank
NA-59,Sardar Ghulam Abbas,PML-N,135123,1
NA-59,Muhammad Roman Ahmad,Independent,125632,2
NA-59,Pir Muhammad Yaqoob Hanfi Saifi,TLP,30246,3
NA-59,Sardar Hassan Sardar Dhemond,PPP,12035,4
NA-59,Muhammad Aamir,Independent,6972,5
NA-59,Muhammad Abu Bakar Siddique,PRP,6220,6
NA-59,Muhammad Tahir Malik,JIP,5605,7
NA-59,Afzal Hayat,PNP,2208,8
NA-59,Muhammad Shahbaz,Independent,1244,9
NA-59,Nisar Ahmad,Independent,1054,10
NA-59,Muhammad Asghar,PMML,942,11
NA-59,Muhammad Faiz Malik Tamman,Independent,657,12
NA-59,Altaf Hussain Qazi,Independent,532,13
NA-59,Muhammad Jahangir Ali Khan,Independent,472,14
NA-59,Tanveer Hussain,Independent,376,15
NA-59,Shahroz Khan,Independent,321,16
NA-59,Malik Asad Ali Khan,Independent,300,17
NA-59,Yar Muhammad Khan Yasir,Independent,270,18
NA-59,Khalida Parveen,Independent,251,19
NA-59,Asif Rizwan,Independent,208,20
NA-59,Zeeshan Mohsin,Independent,206,21
