year,seat,constituency,province,recorded_winner,party,winner_votes,winner_vote_share_pct,registered_voters,turnout_pct,margin_pp,candidate_count
2013,NA-1,Peshawar 1,Khyber Paktunkhwa (NWFP),Imran Khan,Pakistan Tehreek-e-Insaf,90500,62.0,320578,46.2,45.2,18
2013,NA-2,Peshawar 2,Khyber Paktunkhwa (NWFP),Hamid Ul Haq,Pakistan Tehreek-e-Insaf,79125,55.7,336122,43.0,42.5,17
2013,NA-3,Peshawar 3,Khyber Paktunkhwa (NWFP),Sajid Nawaz,Pakistan Tehreek-e-Insaf,66528,38.3,384086,46.6,22.2,17
2013,NA-4,Peshawar 4,Khyber Paktunkhwa (NWFP),Gulzar Khan,Pakistan Tehreek-e-Insaf,55134,39.8,352416,40.4,25.1,13
2013,NA-5,Nowshera 1,Khyber Paktunkhwa (NWFP),Pervez Khattak,Pakistan Tehreek-e-Insaf,70053,44.9,320675,50.1,31.1,11
2013,NA-6,Nowshera 2,Khyber Paktunkhwa (NWFP),Siraj Muhammad Khan,Pakistan Tehreek-e-Insaf,54266,39.8,299273,47.2,14.5,13
2013,NA-7,Charsadda 1,Khyber Paktunkhwa (NWFP),Maulana Muhammad Gohar Shah,Jamiat Ulema-e Islam (Fazl),53610,31.7,376144,46.3,7.9,11
2013,NA-8,Charsadda 2,Khyber Paktunkhwa (NWFP),Aftab Ahmad Khan Sherpao,Qaumi Watan Party,37044,26.6,327423,43.9,2.3,15
2013,NA-9,Mardan 1,Khyber Paktunkhwa (NWFP),Amir Haider Khan,Awami National Party,44769,30.2,336177,45.2,1.8,12
2013,NA-10,Mardan 2,Khyber Paktunkhwa (NWFP),Ali Muhammad Khan,Pakistan Tehreek-e-Insaf,46531,29.6,321660,50.5,4.6,12
2013,NA-11,Mardan 3,Khyber Paktunkhwa (NWFP),Mujahid Ali,Pakistan Tehreek-e-Insaf,38233,28.2,329285,42.4,8.3,15
2013,NA-12,Swabi 1,Khyber Paktunkhwa (NWFP),Engineer Usman Khan Tarrakai,Awami Jamhuri Ittehad Pakistan,56680,37.2,351675,44.5,12.6,15
2013,NA-13,Swabi 2,Khyber Paktunkhwa (NWFP),Asad Qaisar,Pakistan Tehreek-e-Insaf,48576,31.2,362779,44.1,12.8,18
2013,NA-14,Kohat,Khyber Paktunkhwa (NWFP),Shehryar Afridi,Pakistan Tehreek-e-Insaf,68129,40.0,409775,42.9,21.2,16
2013,NA-15,Karak,Khyber Paktunkhwa (NWFP),Nasir Khan Khattak,Pakistan Tehreek-e-Insaf,51481,32.3,314969,52.0,13.6,21
2013,NA-16,Hangu,Khyber Paktunkhwa (NWFP),Khial Zaman Aurak Zai,Pakistan Tehreek-e-Insaf,24067,37.1,214703,31.0,4.5,11
2013,NA-17,Abbottabad,Khyber Paktunkhwa (NWFP),Dr Muhammad Azhar Khan Jadoon,Pakistan Tehreek-e-Insaf,96549,51.2,338273,56.9,14.2,11
2013,NA-18,Abbottabad 2,Khyber Paktunkhwa (NWFP),Murtaza Javed Abbasi,Pakistan Muslim League (Nawaz),69839,38.5,336924,55.9,15.7,11
2013,NA-19,Haripur,Khyber Paktunkhwa (NWFP),Raja Aamer Zaman,Pakistan Tehreek-e-Insaf,116979,40.6,531865,55.8,0.8,11
2013,NA-20,Mansehra 1,Khyber Paktunkhwa (NWFP),Sardar Mohammad Yousaf,Pakistan Muslim League (Nawaz),106467,48.1,415191,55.3,14.1,13
