na,candidate_name,party,votes,rank
NA-146,Zahoor Hussain Qureshi,Independent,112777,1
NA-146,Peer Muhammad Aslam Bodla Siddiqi,PML-N,104875,2
NA-146,Pir Muhammad Imran Shah Khagga,Independent,15437,3
NA-146,Hafiz Muhammad Imran Siddiq Gujjar,TLP,12863,4
NA-146,Chaudhary Shahid Bashir,PPP,12004,5
NA-146,Syed Ayaz Mahmood Gillani,Independent,3272,6
NA-146,Muhammad Munawar,PMML,3178,7
NA-146,Umar Draz,Independent,2161,8
NA-146,Usama Taimoor Khalid,Independent,1472,9
NA-146,Mufti Abdul Aziz,JUI-F,1394,10
NA-146,Mehr Ghulam Haider Sanpal,JIP,1234,11
NA-146,Sadaqat Hussain Shah,Independent,869,12
NA-146,Mian Noor Ahmed,PAT,504,13
NA-146,Rana Muhammad Imran,Independent,367,14
NA-146,Muhammad Afzal Kaifi,Independent,202,15
NA-146,Amir Hussain,Independent,137,16
NA-146,Kanwar Tahseen Ashraf,Independent,129,17
NA-146,Muhammad Yousaf Khan,Independent,120,18
NA-146,Mazhar Hussain,Independent,112,19
NA-146,Aamir Aziz,Independent,100,20
