na,candidate_name,party,votes,rank
NA-206,Zulfiqar Ali Behan,PPP,135864,1
NA-206,Ghulam Murtaza Khan Jatoi,GDA,77202,2
NA-206,Muhammad Rashid Shah,TLP,3165,3
NA-206,Amanullah,Independent,1658,4
NA-206,Muhammad Shabbir Khanzada,JIP,1589,5
NA-206,Abdul Ahad,PRP,1271,6
NA-206,Rafique Ahmad,Independent,739,7
NA-206,Imran Khan Rajpot,MQM,427,8
NA-206,Ali Gul,Independent,417,9
NA-206,Riaz Ahmad Behan,Independent,190,10
NA-206,Meer Muhammad,Independent,146,11
NA-206,Mumtaz Ali Chandio,Independent,135,12
NA-206,Aziz Ahmad Behan,Independent,112,13
NA-206,Bilal Khan Jatoi,Independent,109,14
NA-206,Waleed Ali Jamali,Independent,84,15
