na,candidate_name,party,votes,rank
NA-244,Muhammad Farooq Sattar,MQM-P,20048,1
NA-244,Aftab Jehangir,Independent,14073,2
NA-244,Hafiz Abdul Berr,PPP,7450,3
NA-244,Irfan Ahmed,JIP,6141,4
NA-244,Zameer Hussain,TLP,4340,5
NA-244,Ghulam Rasool,PML-N,2277,6
NA-244,Syed Muhammad Rehmat Ali Rehmani,Independent,2155,7
NA-244,Syed Kamran Shehzad Siddiqui,Independent,867,8
NA-244,Saeed Khan,PRP,728,9
NA-244,Muhammad Farooq Khan,Independent,305,10
NA-244,Abdul Wahaj Khan,Independent,190,11
NA-244,Muhammad Azhar,IPP,178,12
NA-244,Ikhtiar Ahmad,JWP,171,13
NA-244,Muhammad Tahir,PPP-SB,118,14
NA-244,Muhammad Ahmad,Independent,89,15
NA-244,Muhammad Abul Khair,Independent,84,16
NA-244,Muhammad Ishaq,ANP,40,17
NA-244,Raghib Bashir,Independent,29,18
NA-244,Muhammad Ashraf,Independent,24,19
NA-244,Riaz Khan,Independent,23,20
NA-244,Haji Khan Mashori,Independent,17,21
NA-244,Muhammad Yunus Qasmi,Independent,17,22
NA-244,Timoor Ahmed Yar Khan,PDQM,17,23
NA-244,Muhammad Bilal Hussain,PCP,10,24
