na,candidate_name,party,votes,rank
NA-191,Ali Jan Mazari,PPP,103548,1
NA-191,Mir Shah Zain Khan Bijarani,JUI-F,101874,2
NA-191,Hafiz Nasarullah Channa,JIP,2935,3
NA-191,Meer Hassan,Independent,1286,4
NA-191,Muhammad Akram,Independent,1009,5
NA-191,Noor Muhammad,TLP,872,6
NA-191,Shahbaz Ali,Independent,831,7
NA-191,Ghazane Khan,Independent,684,8
NA-191,Abdul Wahid Khoso,Independent,645,9
NA-191,Jeal Shah,Independent,594,10
NA-191,Ghulam Asghar Khan Chachar,Independent,295,11
NA-191,Mir Fayyaz Ahmad,IPP,191,12
NA-191,Inayatullah,Independent,131,13
NA-191,Naveed Ali,Independent,103,14
