na,candidate_name,party,votes,rank
NA-35,Shehryar Khan Afridi,Independent,128594,1
NA-35,Abbas Afridi,PML-N,59034,2
NA-35,Gohar Muhammad Khan Bangash,JUI-F,44380,3
NA-35,Muhammad Ishfaq,PRP,2945,4
NA-35,Zia ul Islam,Independent,1725,5
NA-35,Muhammad Hayyat,Independent,1210,6
NA-35,Noor Aslam,ANP,1175,7
NA-35,Najeeb Ullah Durrani,TLP,1105,8
NA-35,Akbar Jan,Independent,689,9
NA-35,Fawood Ullah Khan,Independent,686,10
NA-35,Asiya Asad,PTI-P,564,11
NA-35,Syed Majid Falook Bukhari,Independent,459,12
NA-35,Faheem Shah,Independent,388,13
NA-35,Bahadur Janan,Independent,313,14
NA-35,Nighat Parveen Afridi,Independent,305,15
NA-35,Lal Saeed Afridi,Independent,271,16
NA-35,Sher Rehman,Independent,144,17
NA-35,Farooq Zaman Shinwari,Independent,132,18
