na,candidate_name,party,votes,rank
NA-81,Azhar Qayyum Nahra,PML-N,110057,1
NA-81,Chaudhry Bilal Ejaz,Independent,106860,2
NA-81,Ch. Zulfiqar Ali Gujjar,TLP,18555,3
NA-81,Babar Ijaz Virk,PMML,9065,4
NA-81,Muhammad Razzaq,JIP,4039,5
NA-81,Muhammad Malik,PPP,2516,6
NA-81,Amir Ali Hussain Khan,Independent,2212,7
NA-81,Aytzaz Ijaz,Independent,877,8
NA-81,Momin Masud Khan,Independent,363,9
NA-81,Sana Khalid,Independent,315,10
NA-81,Mujahid Hussain Manj,Independent,251,11
NA-81,Usman Ghani,MQM,197,12
NA-81,Irshad Ullah Sindhu,Independent,183,13
NA-81,Muhammad Bin Imtiaz,Independent,137,14
NA-81,Gulnaz Anjum,Independent,124,15
NA-81,Chaudhari Muhammad Yousaf Aujala,Independent,73,16
NA-81,Chaudhry Rafaqat Hussain,Independent,72,17
