na,candidate_name,party,votes,rank
NA-186,Sardar Awais Ahmad Khan Leghari,PML-N,100252,1
NA-186,Mehar Sajjad Hussain Cheena,Independent,97990,2
NA-186,Sardar Dost Muhammad Khan Khosa,PPP,4083,3
NA-186,Syed Muneer Hussain,TLP,3429,4
NA-186,Munir Ahmad Anjum,JIP,1547,5
NA-186,Nizamuddin,JUI-F,1436,6
NA-186,Sardar Arslan Mehmood,Independent,1355,7
NA-186,Muhammad Uzair,Independent,326,8
NA-186,Sardar Ahmad Ali Khan Dreshak,Independent,308,9
NA-186,Sardar Muhammad Khan Leghari,Independent,299,10
NA-186,Muhammad Faheem Saeed,Independent,249,11
NA-186,Saeed Ahmad Khan,Independent,237,12
NA-186,Khadim Hussain,Independent,235,13
NA-186,Shahriyar Khan,Independent,223,14
NA-186,Safdar Ali Niazi,Independent,221,15
NA-186,Muhammad Ramzan Qadir,Independent,193,16
NA-186,Shabbir Khan Laghari,Independent,89,17
